iso,umd_tree_cover_loss__year,,umd_tree_cover_loss__ha,umd_tree_cover_loss_from_fires__ha
XKO,2001,XKO2001,1122.033398,110.4344109
Z01,2001,Z012001,98.92095867,43.39493862
Z06,2001,Z062001,26.46816555,8.709977538
Z07,2001,Z072001,5470.188323,112.1380273
ZAF,2001,ZAF2001,77644.69023,2357.811575
ZMB,2001,ZMB2001,30104.09588,75.71984941
ZNC,2001,ZNC2001,35.32316643,0.756455705
ZWE,2001,ZWE2001,8190.981147,25.70660289
ABW,2002,ABW2002,0.526107732,0.150316363
AFG,2002,AFG2002,178.9478552,96.30441154
AGO,2002,AGO2002,61008.43203,626.0106502
AIA,2002,AIA2002,0.146329651,0
ALA,2002,ALA2002,277.8198771,2.77376821
ALB,2002,ALB2002,889.1555445,148.8320958
AND,2002,AND2002,1.255022224,0.056952716
ARG,2002,ARG2002,104934.5176,7397.659848
ARM,2002,ARM2002,172.5385912,35.57348758
ATG,2002,ATG2002,17.65604165,0.734584058
AUS,2002,AUS2002,312150.3082,235574.4813
AUT,2002,AUT2002,10905.98417,216.7937993
AZE,2002,AZE2002,1154.205943,91.16603878
BDI,2002,BDI2002,986.7825176,0.998039533
BEL,2002,BEL2002,2348.391106,59.77918097
BEN,2002,BEN2002,3478.737623,7.175379077
BES,2002,BES2002,2.106457457,0
BFA,2002,BFA2002,4.3029109,0
BGD,2002,BGD2002,3995.35892,50.31124424
BGR,2002,BGR2002,4638.738812,736.321573
BHS,2002,BHS2002,700.9761365,220.8943276
BIH,2002,BIH2002,692.6588558,80.55569215
BLR,2002,BLR2002,25383.55998,1371.98919
BLZ,2002,BLZ2002,13473.06175,2526.522264
BMU,2002,BMU2002,0.717959402,0
BOL,2002,BOL2002,178693.5761,17022.37954
BRA,2002,BRA2002,3506873.016,179593.6234
BRB,2002,BRB2002,11.39198156,0.299789799
BRN,2002,BRN2002,1088.692246,46.46637941
BTN,2002,BTN2002,224.0031776,19.31321174
BWA,2002,BWA2002,22.78899863,0.073335151
CAF,2002,CAF2002,34417.79778,349.6383671
CAN,2002,CAN2002,2316886.552,1316752.631
CHE,2002,CHE2002,881.4092137,21.68550407
CHL,2002,CHL2002,78143.27635,10444.083
CHN,2002,CHN2002,249183.9677,38671.4212
CIV,2002,CIV2002,144564.9248,354.1841777
CMR,2002,CMR2002,28767.18069,72.78535809
COD,2002,COD2002,514458.7367,4150.739093
COG,2002,COG2002,24310.21907,315.1394661
COL,2002,COL2002,182233.128,8263.56555
COM,2002,COM2002,41.20393423,1.355535033
CPV,2002,CPV2002,45.66800619,5.505050696
CRI,2002,CRI2002,13300.29901,400.3490232
CUB,2002,CUB2002,15035.91934,5908.662199
CUW,2002,CUW2002,1.279283688,0.150515936
CYM,2002,CYM2002,5.598244417,0
CYP,2002,CYP2002,31.74324402,5.010473122
CZE,2002,CZE2002,6763.28057,52.23241467
DEU,2002,DEU2002,15304.48654,261.2812385
DMA,2002,DMA2002,11.87470804,0.370929393
DNK,2002,DNK2002,1204.489939,10.0827367
DOM,2002,DOM2002,10435.61615,444.7443285
DZA,2002,DZA2002,3009.335846,1618.061196
ECU,2002,ECU2002,29846.27809,2007.018985
EGY,2002,EGY2002,48.81325058,8.336098984
ERI,2002,ERI2002,0,0
ESP,2002,ESP2002,37699.26142,8027.039781
EST,2002,EST2002,21918.38877,237.0953378
ETH,2002,ETH2002,13074.08741,29.26710768
FIN,2002,FIN2002,142432.3646,1427.026502
FJI,2002,FJI2002,703.2099391,15.62773043
FRA,2002,FRA2002,33888.39717,1917.373592
GAB,2002,GAB2002,13851.76974,167.8661037
GBR,2002,GBR2002,20106.36476,2164.228087
GEO,2002,GEO2002,536.442198,53.11575094
GGY,2002,GGY2002,0.100695235,0
GHA,2002,GHA2002,78392.85893,173.1342369
GIB,2002,GIB2002,0.249658821,0.124829215
GIN,2002,GIN2002,28933.47429,69.48497528
GLP,2002,GLP2002,50.88541896,0.739384401
GMB,2002,GMB2002,40.15764074,0
GNB,2002,GNB2002,6073.872731,7.91913388
GNQ,2002,GNQ2002,2986.264374,7.61067024
GRC,2002,GRC2002,5126.524654,843.2089187
GRD,2002,GRD2002,65.83774686,0.526710188
GTM,2002,GTM2002,55609.14509,7295.808112
GUF,2002,GUF2002,2496.703749,149.4990722
GUY,2002,GUY2002,4827.318669,245.8799671
HND,2002,HND2002,31527.79007,2567.266843
HRV,2002,HRV2002,2340.179492,394.3790882
HTI,2002,HTI2002,2120.380505,65.20124113
HUN,2002,HUN2002,7708.347571,116.4876441
IDN,2002,IDN2002,855270.4887,83504.29601
IMN,2002,IMN2002,27.3297196,4.813900001
IND,2002,IND2002,47839.02298,830.8950463
IRL,2002,IRL2002,5299.586329,205.9183729
IRN,2002,IRN2002,557.752371,82.90221544
IRQ,2002,IRQ2002,10.62006031,5.206038381
ISR,2002,ISR2002,111.7306785,3.930704555
ITA,2002,ITA2002,10931.65339,872.1062472
JAM,2002,JAM2002,1647.570637,67.29600896
JEY,2002,JEY2002,1.620747788,0.10135484
JOR,2002,JOR2002,0.196107558,0
JPN,2002,JPN2002,26153.7962,958.6439785
KAZ,2002,KAZ2002,2952.306624,648.9006827
KEN,2002,KEN2002,20286.98774,31.44333162
KGZ,2002,KGZ2002,305.4574798,117.3734661
KHM,2002,KHM2002,54915.9292,824.1432645
KNA,2002,KNA2002,19.79075058,1.176962724
KOR,2002,KOR2002,4705.385306,921.7030763
LAO,2002,LAO2002,55886.58142,231.8360733
LBN,2002,LBN2002,81.20045904,3.97260689
LBR,2002,LBR2002,56984.57687,430.1457631
LBY,2002,LBY2002,40.24566353,27.84336473
LCA,2002,LCA2002,10.91096809,2.01793292
LKA,2002,LKA2002,3427.603857,83.19362305
LSO,2002,LSO2002,2.687139564,0
LTU,2002,LTU2002,10344.88339,25.21545949
LUX,2002,LUX2002,90.50688451,1.552086117
LVA,2002,LVA2002,29175.90573,127.0004369
MAF,2002,MAF2002,5.418846674,0
MAR,2002,MAR2002,3923.517827,927.9645903
MDA,2002,MDA2002,229.7443267,15.93555987
MDG,2002,MDG2002,89317.51427,3907.775184
MDV,2002,MDV2002,4.588154946,0
MEX,2002,MEX2002,158811.852,13774.19554
MKD,2002,MKD2002,890.3568098,59.81052528
MLI,2002,MLI2002,175.2904428,0.149641421
MLT,2002,MLT2002,1.752961399,0.250098171
