Series Name,Series Code,Country Name,Latitude,Longitude,Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Forest area (sq. km),AG.LND.FRST.K2,Benin,9.30769,2.315834,BEN,36351.5,35851.5,35351.5,34851.5,34351.5,33851.5,33351.5,32851.5,32351.5,31851.5,31351.5,30851.5,30351.5,..,..
Forest area (sq. km),AG.LND.FRST.K2,Bermuda,32.321384,-64.75737,BMU,10,10,10,10,10,10,10,10,10,10,10,10,10,..,..
Forest area (sq. km),AG.LND.FRST.K2,Bhutan,27.514162,90.433601,BTN,27052.9,27072.68,27092.46,27112.24,27132.02,27151.8,27171.6,27191.4,27211.2,27231,27250.8,27270.6,27290.4,..,..
Forest area (sq. km),AG.LND.FRST.K2,Bolivia,-16.290154,-63.588653,BOL,530860.1,528742.52,526624.94,524507.36,522389.78,520272.2,517506.8,514922.2,512532.4,510337.6,508337.6,506207.733,504164.444,..,..
Forest area (sq. km),AG.LND.FRST.K2,Bosnia and Herzegovina,43.915886,17.679076,BIH,21026.6,21142.28,21257.96,21373.64,21489.32,21605,21765.1,21879.1,21879.1,21879.1,21879.1,21879.1,21879.1,..,..
Forest area (sq. km),AG.LND.FRST.K2,Botswana,-22.328474,24.684866,BWA,164377,163194,162011,160828,159645,158462,157279,156096,154913,153730,152547,151364,150181,..,..
Forest area (sq. km),AG.LND.FRST.K2,Brazil,-14.235004,-51.92528,BRA,5115807,5100415.2,5085023.4,5069631.6,5054239.8,5038848,5020821,5000916,4990514,4977985,4966196,4953913.667,4941960.222,..,..
Forest area (sq. km),AG.LND.FRST.K2,British Virgin Islands,18.420695,-64.639968,VGB,36.4,36.36,36.32,36.28,36.24,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,..,..
Forest area (sq. km),AG.LND.FRST.K2,Brunei,4.535277,114.727669,BRN,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,..,..
Forest area (sq. km),AG.LND.FRST.K2,Bulgaria,42.733883,25.48583,BGR,37370,37562,37754,37946,38138,38330,38410,38540,38670,38800,38930,39060,39190,..,..
Forest area (sq. km),AG.LND.FRST.K2,Burkina Faso,12.238333,-1.561593,BFA,67165,66664.8,66164.6,65664.4,65164.2,64664,64164,63664,63164,62664,62164,61664,61164,..,..
Forest area (sq. km),AG.LND.FRST.K2,Burundi,-3.373056,29.918886,BDI,1939.4,2110.8,2282.2,2453.6,2625,2796.4,2796.4,2796.4,2796.4,2796.4,2796.4,2796.4,2796.4,..,..
Forest area (sq. km),AG.LND.FRST.K2,Cape Verde,16.002082,-24.013197,CPV,427.2,430.2,433.2,436.2,439.2,442.2,445.2,448.2,451.2,454.2,457.2,460.2,463.2,..,..
Forest area (sq. km),AG.LND.FRST.K2,Cambodia,12.565679,104.990963,KHM,105892.3,102407.48,98922.66,95437.84,91953.02,88468.2,86911.3,85354.4,83797.5,82240.6,80683.7,79126.8,77569.9,..,..
Forest area (sq. km),AG.LND.FRST.K2,Cameroon,7.369722,12.354722,CMR,209004.8,208444.8,207884.8,207324.8,206764.8,206204.8,205644.8,205084.8,204524.8,203964.8,203404.8,202844.8,202284.8,..,..
Forest area (sq. km),AG.LND.FRST.K2,Canada,56.130366,-106.346771,CAN,3473222.1,3472809.1,3472396.1,3471983.1,3471570.1,3471157.1,3470760.4,3470390.5,3470020.7,3469650.8,3469281,3468911.133,3468541.311,..,..
Forest area (sq. km),AG.LND.FRST.K2,Cayman Islands,19.513469,-80.566956,CYM,127.2,127.2,127.2,127.2,127.2,127.2,127.2,127.2,128.1,127.2,127.2,126.6,126.4,..,..
Forest area (sq. km),AG.LND.FRST.K2,Central African Rep.,6.611111,20.939444,CAF,226030,225730,225430,225130,224830,224530,224230,223930,223630,223330,223030,222730,222430,..,..
Forest area (sq. km),AG.LND.FRST.K2,Chad,15.454166,18.732207,TCD,55300,54020,52740,51460,50180,48900,47690,46510,45350,44220,43130,42013.333,40914.444,..,..
Forest area (sq. km),AG.LND.FRST.K2,Channel Islands,,,CHI,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,..,..,..
Forest area (sq. km),AG.LND.FRST.K2,Chile,-35.675147,-71.542969,CHL,167252.6,168994.24,170735.88,172477.52,174219.16,175960.8,177190.1,178419.4,179648.7,180878,182107,183336.2,184565.266,..,..
Forest area (sq. km),AG.LND.FRST.K2,China,35.86166,104.195397,CHN,2006103.8,2025471.54,2044839.28,2064207.02,2083574.76,2102942.5,2124598.67,2143394.7,2162190.4,2180986.1,2199781.8,2218577.5,2237373.2,..,..
Forest area (sq. km),AG.LND.FRST.K2,Colombia,4.570868,-74.297333,COL,608077.9,606731.64,605385.38,604039.12,602692.86,601346.6,599594.9,597397.7,595404.8,593412,591419.1,589426.267,587433.389,..,..
Forest area (sq. km),AG.LND.FRST.K2,Comoros,-11.875001,43.872219,COM,373,368.62,364.24,359.86,355.48,351.1,346.7,342.3,338,333.6,329.2,324.8,320.4,..,..
Forest area (sq. km),AG.LND.FRST.K2,Dem. Rep. Congo,-4.038333,21.758664,COD,1371690,1360676.24,1349662.48,1338648.72,1327634.96,1316621.2,1305607.4,1294593.7,1283579.9,1272566.1,1261552.4,1250538.633,1239524.911,..,..
Forest area (sq. km),AG.LND.FRST.K2,Congo,-0.228021,15.827659,COG,220750,220630,220510,220390,220270,220150,220030,219910,219760,219610,219460,219310,219160,..,..
Forest area (sq. km),AG.LND.FRST.K2,Costa Rica,9.748917,-83.753428,CRI,28712,28875.66,29039.32,29202.98,29366.64,29530.3,29694,29857.7,30021.3,30185,30348.7,30512.4,30676.1,..,..
Forest area (sq. km),AG.LND.FRST.K2,Côte d'Ivoire,,,CIV,39655.8,38526.94,37398.08,36269.22,35140.36,34011.5,32882.6,31753.7,30624.8,29496,28367.1,27238.267,26109.389,..,..
Forest area (sq. km),AG.LND.FRST.K2,Croatia,45.1,15.2,HRV,19200,19204,19208,19212,19216,19220,19241.202,19316.084,19341.1,19366.1,19391.1,19416.1,19441.1,..,..
Forest area (sq. km),AG.LND.FRST.K2,Cuba,21.521757,-77.781167,CUB,29320,29824,30328,30832,31336,31840,32410,32420,32420,32420,32420,32420,32420,..,..
Forest area (sq. km),AG.LND.FRST.K2,Curacao,,,CUW,..,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,..,..
Forest area (sq. km),AG.LND.FRST.K2,Cyprus,35.126413,33.429859,CYP,1728.4,1728.14,1727.88,1727.62,1727.36,1727.1,1726.1,1725.9,1725.7,1725.5,1725.3,1725.1,1724.9,..,..
Forest area (sq. km),AG.LND.FRST.K2,Czechia,,,CZE,26573.8,26595.82,26617.84,26639.86,26661.88,26683.9,26698.5,26716.6,26734.7,26752.8,26770.9,26789,26807.1,..,..
Forest area (sq. km),AG.LND.FRST.K2,Denmark,56.26392,9.501785,DNK,5864.9,5941.28,6017.66,6094.04,6170.42,6246.8,6246.6,6256,6265.6,6275,6284.4,6293.8,6303.2,..,..
Forest area (sq. km),AG.LND.FRST.K2,Djibouti,11.825138,42.590275,DJI,56,56,56,56,56,56,56,56.1,56.4,57,58,58.733,59.644,..,..
Forest area (sq. km),AG.LND.FRST.K2,Dominica,15.414999,-61.370976,DMA,478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7,..,..
Forest area (sq. km),AG.LND.FRST.K2,Dominican Rep.,18.735693,-70.162651,DOM,20731.2,20792.26,20853.32,20914.38,20975.44,21036.5,21117.4,21198.3,21279.2,21360.1,21441,21521.9,21602.8,..,..
Forest area (sq. km),AG.LND.FRST.K2,Ecuador,-1.831239,-78.183406,ECU,130281.9,129863.88,129445.86,129027.84,128609.82,128191.8,127549.1,126906.4,126263.7,125621,124978.3,124335.6,123692.9,..,..
Forest area (sq. km),AG.LND.FRST.K2,Egypt,26.820553,30.802498,EGY,656.4,621.96,587.52,553.08,518.64,484.2,449.8,449.8,449.8,449.8,449.8,449.8,449.8,..,..
Forest area (sq. km),AG.LND.FRST.K2,El Salvador,13.794185,-88.89653,SLV,6288.8,6243.8,6198.8,6153.8,6108.8,6063.8,6018.8,5973.8,5928.8,5883.8,5838.8,5793.8,5748.8,..,..
