"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"UGA",2019,63267.53282701140221097,29669798.465540488029441
"UKR",2019,45143.775820619766321960,19056657.6310750185655767
"URY",2019,14521.90103738388149991,10294249.2314442746560203
"USA",2019,2109922.026010732128318226,905511061.15122487084767190
"UZB",2019,17.63890151589843724,6714.7831416787223152
"VCT",2019,11.61693048892794993,7245.22746494582376
"VEN",2019,140698.91803586681641378,62126796.484118698537568
"VGB",2019,0.87699208941080739,350.530276030482538
"VIR",2019,19.58205995306640988,7769.597480987761032
"VNM",2019,216776.91393863599504788,168050215.987823215409861
"VUT",2019,251.57034171083495217,129464.226889998635318
"XAD",2019,1.3986241717925350,416.20210620949311
"XKO",2019,697.399454282525863636,392194.978073160868790
"Z01",2019,25.90482638726996991,15096.241410361197006
"Z06",2019,2.9576751325607638,969.167363825832633
"Z07",2019,5224.69299186992458018,2899180.5995653873556494
"ZAF",2019,76139.96713459641416390,45498434.6778907396174012
"ZMB",2019,124579.73697520777838961,45680278.311649330856928
"ZNC",2019,25.1274156027734378,8763.640705785855108
"ZWE",2019,11514.47862500644192890,6226192.482300130015354
"AFG",2020,36.58230789240671565,11409.236816046648595
"AGO",2020,247979.44341863593785931,86151528.612071720914966
"AIA",2020,0.14632985609049481,47.48156422402951
"ALA",2020,673.41128750938743648,206427.499708936273280
"ALB",2020,1116.970242067361563874,427420.4550687948798210
"AND",2020,27.494491986679685525,15127.835646112321651
"ARG",2020,197404.200989013432395042,51442894.9919606296794038
"ARM",2020,18.54296916338759227,7710.098101896106397
"ATG",2020,15.23599393617404401,5580.325020302746274
"AUS",2020,2356517.983653655846247473,563980104.6561005724619198
"AUT",2020,25940.408163143581967249,14782590.822566300016298
"AZE",2020,22.77496149437283000,7822.708075389057469
"BDI",2020,1856.85177499982125727,1101856.698472467185199
"BEL",2020,5408.582106970414104435,3119755.6907455405316735
"BEN",2020,1603.04791630123542716,815003.929086378858365
"BES",2020,9.69795470649197054,4126.92134362341907
"BFA",2020,0.0,7470.072909759612450
"BGD",2020,21475.59137844710584760,12428756.646885989448844
"BGR",2020,4795.214784004512207196,2304899.3216800541119460
"BHS",2020,2696.17849708248298081,916960.494435264479563
"BIH",2020,1842.180257719705235325,948579.9466864161345594
"BLR",2020,68932.175516464009284653,27661105.8311852443198476
"BLZ",2020,26721.58744571528142214,11858142.284515607141794
"BOL",2020,428902.86426320679400310,158918667.790027936484726
"BRA",2020,3290644.63117095678874008,1680953959.3466222425621296
"BRB",2020,22.1097087401573414,7876.044015244088288
"BRN",2020,1166.42756850767169928,737966.661368956513143
"BTN",2020,1288.37448758953052770,705977.1890009690013025
"BWA",2020,1.81525809188368081,444.822903272026390
"CAF",2020,55136.83110016810343298,28600048.061660844039555
"CAN",2020,1195271.063623762148911153,370210212.2865110008359589
"CHE",2020,3927.994574761222063412,2433594.095269822670551
"CHL",2020,70568.259845053395922868,33738336.2924880348815720
"CHN",2020,422361.069291498464702186,203155586.3443704815078330
"CIV",2020,248549.65606758058864529,148785173.120820465524388
"CMR",2020,202795.51540921711382377,133509584.640417338258977
"COD",2020,1310238.09473405390708509,862753803.509281335448211
"COG",2020,64540.48509085227504801,40526607.825846120459942
"COL",2020,324203.09775475944951289,193430580.0996281915783595
"COM",2020,265.51162030653220593,139247.98608326358451
"CPV",2020,6.5394375064735237,0.0
"CRI",2020,8248.60491812551499476,5009544.584473287440059
"CUB",2020,12618.45341911081371994,5006595.0828570325792564
"CUW",2020,1.95612769982530385,610.60510249021317
"CYM",2020,8.57770746025173276,4805.443408038588600
"CYP",2020,33.19479004149956016,7943.064876723699603
"CZE",2020,100267.371244678068315788,56532061.342292518235943
"DEU",2020,186938.861286666180735119,113173336.2452712125429604
"DMA",2020,65.61122506442001994,38101.106050026025685
"DNK",2020,3193.593482203414496788,1218756.2979186377786375
"DOM",2020,21441.30738443466864149,9978196.196488906335059
"DZA",2020,13072.357037419773136486,2389010.5647473879782893
"ECU",2020,48963.23868776020998171,35469372.890769510817803
"EGY",2020,18.13907616891275892,4397.18549902517711
"ESP",2020,101988.176393417563228803,46460003.7439273374022952
"EST",2020,36805.569045306605210055,12182001.207872062538159
"ETH",2020,17980.78234328902328625,9312937.9479458735834223
"FIN",2020,254472.600298344505590381,58874898.4233113804709627
"FJI",2020,2066.83206738261548163,1163673.724813572361215
"FRA",2020,77745.737139422077570862,43946716.8222293199969643
"GAB",2020,22022.19705051162067603,14335606.995546074531088
"GBR",2020,22836.270154015518031021,10654447.9995757432476639
"GEO",2020,222.153776001503867444,99417.032554190231559
"GGY",2020,0.2014560815060764,65.61830819889053
"GHA",2020,136613.33537539580759927,85783180.180624975168534
"GIN",2020,178406.70874928474583242,87079177.078447660289251
"GLP",2020,51.92330283529623038,23212.045838992830970
"GMB",2020,9.89257143620659734,2528.871577760068154
"GNB",2020,17107.80284895021459930,7760600.959539992767809
"GNQ",2020,4870.64700301007301946,3372249.845157109003184
"GRC",2020,5427.825421510587952149,1504814.4903567821537944
"GRD",2020,18.43700219297905879,9759.231231079747828
"GTM",2020,98561.32396590568636357,45710976.187327302745537
"GUF",2020,4289.37669249657849415,3274344.334553675066129
"GUY",2020,15769.97951732441920892,9942764.068509721090880
"HND",2020,93648.79185482421050847,49242101.363783704515512
"HRV",2020,6051.722610220721880575,3144794.8584322522750843
"HTI",2020,3802.05673911145244743,1797955.808435592638348
"HUN",2020,12016.303963450474527046,5029365.104232028571488
"IDN",2020,961584.79717963065124396,599003233.612464160942160
"IMN",2020,14.25881806646701482,5249.361756178240842
"IND",2020,130854.60339082320564605,72810172.002217530525359
"IRL",2020,6212.890538965919393675,3141978.403759538552158
"IRN",2020,20.19200928916015730,7289.116149308091633
"ISR",2020,46.46654973852538683,15218.4645283173828815
"ITA",2020,28245.356767884443060503,11102502.0185475054871460
"JAM",2020,2169.74570218075900683,1180523.380004512003085
"JEY",2020,0.30383212113715280,124.948486574380635
"JOR",2020,0.19579483644531252,52.566938546683875
"JPN",2020,48058.221412997909532131,23641550.2133517402752079
"KAZ",2020,1853.267679175210184546,718880.9068823462775405
"KEN",2020,19045.37283900203933470,9396596.858079851984895
"KGZ",2020,11.898140121510418482,1828.4118107433296667
"KHM",2020,143528.98846973179926517,83345068.256683831888582
"KNA",2020,10.14993487445637918,4690.191392581702880
"KOR",2020,20122.304110373537187445,6744730.002092302710284
"LAO",2020,357519.43862173169018568,188131420.481119988494134
"LBN",2020,473.08464572179407764,149398.9478619175462535
"LBR",2020,220121.97838960651272338,137617574.056897701060415
"LBY",2020,0.78090105616210944,94.9768216815563575
"LCA",2020,40.73259010682670931,23024.037973245475805
"LIE",2020,3.21449726384765623,1980.39702429481307
"LKA",2020,11215.99147357759134964,4610847.797612819934772
"LSO",2020,16.13182196853624170,5432.686165148498914
"LTU",2020,22970.527799865065732410,8719238.0287595310161735
"LUX",2020,654.51918871101103009,415268.328780895378841
"LVA",2020,50462.783828106698129114,18508131.037177984234568
"MAF",2020,1.61110014099717890,740.83722906880279
"MAR",2020,3620.77965439201674359,801899.9626469074668435
"MDA",2020,1413.315172163183541910,507660.0454308595800498
"MDG",2020,241112.00477303673796671,128027745.628109633432531
"MEX",2020,299298.44958654727895987,131413311.4272738052813524
"MKD",2020,1856.13740564902006679,878788.4610791019158077
"MLI",2020,148.84741201595265357,57473.558400174867532
"MMR",2020,310005.38153156867854964,173605902.616694695831813
"MNE",2020,983.183855986670673379,542812.820041175103811
"MNG",2020,464.617516136349725252,173175.7937151301479807
"MOZ",2020,232523.84531724321637548,87019896.652043071577851
"MRT",2020,0.0,463.807283114073792
"MSR",2020,2.21254263953559062,1005.296229200176761
"MTQ",2020,65.09517640956978916,33447.971076961575937
"MWI",2020,16070.14046082543057671,6867151.570050059374984
"MYS",2020,268775.04833566060541266,130144264.135404786142487
"MYT",2020,166.78849063975097744,88267.382739253229391
"NAM",2020,1.46098344458441846,346.891974969248428
"NCL",2020,4065.97549624897464351,1340971.845091093395341
"NGA",2020,99199.51603081963063911,60291219.553491646208935
"NIC",2020,111296.12941590396825647,60111312.852625422554653
"NLD",2020,1921.808177094025849379,937146.407026384264837
"NOR",2020,68362.848221985176380231,19587954.2263884162185628
"NPL",2020,2232.81156351152825108,1244148.661034987793615
"NZL",2020,60924.632569294283065590,45414453.2283493816529249
"PAK",2020,66.93545053930772100,24752.420012394684232
"PAN",2020,27379.02438371941576659,16046863.489014623826775
"PER",2020,278604.09826143252537095,178523779.561424157179820
"PHL",2020,63727.29573765028665706,38981726.002340433442651
"PLW",2020,16.25437658344238529,10537.283017311789336
"PNG",2020,78439.73413638654121954,59460034.624521444695386
"POL",2020,74958.855156036355127026,32938218.7064682690707865
"PRI",2020,680.78000166393779385,358061.115544547437970
"PRK",2020,14775.417513406481251279,4361991.1585595320052545
"PRT",2020,62043.513095106641728214,22621372.3424572970020251
"PRY",2020,243326.26433875707995384,69170793.108504991715830
"PSE",2020,0.26138486053819446,84.101909755101314
"ROU",2020,27445.451195268414383524,15394682.3582733322502609
"RUS",2020,5442086.246369262911774214,821908870.46787751332450531
"RWA",2020,3187.39401529724286588,2607036.278209026914566
"SDN",2020,66.80291179048830869,21448.306996799110196
"SEN",2020,758.45816100406534712,225621.090551792102635
"SGP",2020,165.12609479173368918,90595.260711360336476
"SLB",2020,14598.97770127085899295,11023280.411772013955405
"SLE",2020,154640.74448345104759584,80918308.145266658329572
"SLV",2020,2208.12560440713436339,1150670.380440745384463
"SOM",2020,154.51877993220296105,36185.373940382120469
"SPM",2020,1.4859383276866316,0.0
"SRB",2020,4987.053400959842915191,2666263.9778188828695705
"SSD",2020,2326.22676357332320267,1095199.357359180718349
"SUR",2020,15095.85336916832432016,11310641.677565280761098
"SVK",2020,11947.850559567844956314,6993845.982492790691437
"SVN",2020,3874.409409420019649114,2334210.014817129832293
"SWE",2020,339968.339891257496255103,97195333.7560548200788607
"SWZ",2020,2684.09113614353131954,1722603.159579381152715
"SYR",2020,3037.67036048139335783,638190.109164091317321
"TCA",2020,34.41261375366969752,10978.694995032048018
"TCD",2020,3433.48961585372858410,1074544.915531648312989
"TGO",2020,5446.29695028421905207,3168297.846337258425491
"THA",2020,119391.72305411412529608,78590911.918627341633157
"TJK",2020,0.4276713535351563,127.2529363480884835
"TLS",2020,1459.02023857232277239,757622.164515901902752
"TTO",2020,859.98702567581512359,504939.412564709111129
"TUN",2020,1062.227097201833741959,210175.339267601274314
"TUR",2020,45348.463610691260864318,15988571.0918888904864525
"TWN",2020,1461.49965451778984802,870365.757182138453642
"TZA",2020,186208.95467037355523906,69947244.997324683151016
"UGA",2020,73601.53457729728513701,35904963.894033235344822
"UKR",2020,79461.177611406677450680,28980871.8951022596080711
"URY",2020,12732.70047145086524534,8799085.8373858596791595
"USA",2020,1966726.693712247969439819,932685423.94057495484608407
"UZB",2020,3.18195054995442694,1119.595231356859038
"VCT",2020,7.11959635742133294,4531.74919079435267
"VEN",2020,139221.40839570047170811,67291721.3719968097231075
"VGB",2020,0.07308887034722222,27.72435187783638
